id	difficulty	category	prompt	choices	answers	turorial
1	1	["pwd"]	カレントディレクトリの絶対パスを表示する。	["pwd", "cd"]	[[1]]	
2	1	["ls"]	カレントディレクトリのファイル一覧を表示する。	["ls", "cat"]	[[1]]	
3	1	["cd"]	1つ上のディレクトリへ移動する。	["cd", "..", "pwd"]	[[1, 2]]	
4	1	["mkdir"]	カレントディレクトリに `logs` ディレクトリを作成する。	["mkdir", "logs", "touch"]	[[1, 2]]	
5	1	["touch"]	カレントディレクトリに空ファイル `memo.txt` を作成する。	["touch", "memo.txt", "mkdir"]	[[1, 2]]	
6	1	["cat"]	ファイル `memo.txt` の内容を表示する。	["cat", "memo.txt", "less"]	[[1, 2]]	
7	1	["head"]	ファイル `app.log` の先頭10行を表示する。	["head", "app.log", "tail"]	[[1, 2]]	
8	1	["tail"]	ファイル `app.log` の末尾10行を表示する。	["tail", "app.log", "head"]	[[1, 2]]	
9	1	["du"]	ディレクトリ `app` の使用容量を表示する。	["du", "app", "df"]	[[1, 2]]	
10	1	["df"]	ファイルシステムの空き容量を表示する。	["df", "du"]	[[1]]	
11	2	["ls"]	ディレクトリ `/etc` の内容を詳細表示する。	["ls", "-l", "/etc", "-a"]	[[1, 2, 3]]	
12	2	["ls"]	カレントディレクトリのファイル一覧を、隠しファイルも含めて詳細表示する。	["ls", "-l", "-a", "-h", "/tmp"]	[[1, 2, 3], [1, 3, 2]]	
13	2	["cp"]	ファイル `file.txt` を `backup.txt` としてコピーする。	["cp", "file.txt", "backup.txt", "mv", "-r"]	[[1, 2, 3]]	
14	2	["mv"]	ファイル `old.txt` を `new.txt` に名前変更する。	["mv", "old.txt", "new.txt", "cp", "-i"]	[[1, 2, 3]]	
15	2	["rm"]	ファイル `temp.txt` を削除前に確認して削除する。	["rm", "-i", "temp.txt", "-f", "cp"]	[[1, 2, 3]]	
16	2	["cat"]	ファイル `file.txt` の内容を行番号付きで表示する。	["cat", "-n", "file.txt", "-b", "less"]	[[1, 2, 3]]	
17	2	["head"]	ファイル `app.log` の先頭5行を表示する。	["head", "-n", "5", "app.log", "tail"]	[[1, 2, 3, 4]]	
18	2	["tail"]	ファイル `app.log` の末尾20行を表示する。	["tail", "-n", "20", "app.log", "head"]	[[1, 2, 3, 4]]	
19	2	["grep"]	ファイル `app.log` から `error` を含む行を表示する。	["grep", "\"error\"", "app.log", "-v", "cat"]	[[1, 2, 3]]	
20	2	["grep"]	ファイル `app.log` から `error` を含む行を、行番号付きで表示する。	["grep", "-n", "\"error\"", "app.log", "-v"]	[[1, 2, 3, 4]]	
21	2	["find"]	カレントディレクトリ配下から拡張子 `.log` のファイルを検索する。	["find", ".", "-name", "\"*.log\"", "*.log", "grep"]	[[1, 2, 3, 4]]	
22	2	["wc"]	ファイル `app.log` の行数を表示する。	["wc", "-l", "app.log", "-w", "grep"]	[[1, 2, 3]]	
23	2	["sort"]	ファイル `scores.txt` の行を数値として昇順に並べ替える。	["sort", "-n", "scores.txt", "-r", "uniq"]	[[1, 2, 3]]	
24	2	["uniq"]	ファイル `names.txt` の隣接する重複行を1行にまとめる。	["uniq", "names.txt", "sort", "-c"]	[[1, 2]]	
25	2	["cut"]	CSVファイル `users.csv` から1列目を表示する。	["cut", "-d", "\",\"", "-f", "1", "users.csv", "-c"]	[[1, 2, 3, 4, 5, 6]]	
26	2	["chmod"]	ファイル `script.sh` に実行権限を追加する。	["chmod", "+x", "script.sh", "755", "chown"]	[[1, 2, 3]]	
27	2	["ps"]	全ユーザーのプロセスを詳細表示する。	["ps", "aux", "-ef", "top"]	[[1, 2]]	
28	2	["kill"]	PID `1234` のプロセスを強制終了する。	["kill", "-9", "1234", "-15", "pkill"]	[[1, 2, 3]]	
29	2	["du"]	ディレクトリ `app` の合計使用容量を読みやすい単位で表示する。	["du", "-s", "-h", "app", "df"]	[[1, 2, 3, 4], [1, 3, 2, 4]]	
30	2	["curl"]	URL `https://example.com` のレスポンスヘッダーだけを取得する。	["curl", "-I", "https://example.com", "-L", "wget"]	[[1, 2, 3]]	
31	3	["grep", "wc"]	ファイル `app.log` から `error` を含む行数を数える。	["grep", "\"error\"", "app.log", "|", "wc", "-l", "cat", "-v"]	[[1, 2, 3, 4, 5, 6]]	
32	3	["sort", "uniq"]	ファイル `names.txt` を並べ替えた上で、重複行を1行にまとめる。	["sort", "names.txt", "|", "uniq", "-c", "cat"]	[[1, 2, 3, 4]]	
33	3	["sort", "uniq"]	ファイル `names.txt` を並べ替えた上で、各行の出現回数を表示する。	["sort", "names.txt", "|", "uniq", "-c", "-d", "wc"]	[[1, 2, 3, 4, 5]]	
34	3	["ls", "head"]	カレントディレクトリの詳細一覧から上位5行だけを表示する。	["ls", "-l", "|", "head", "-n", "5", "tail", "-a"]	[[1, 2, 3, 4, 5, 6]]	
35	3	["ps", "grep"]	プロセス一覧から `nginx` を含む行だけを表示する。	["ps", "aux", "|", "grep", "nginx", "kill", "-ef"]	[[1, 2, 3, 4, 5]]	
36	3	["tail", "grep"]	ファイル `app.log` の末尾100行から `error` を含む行だけを表示する。	["tail", "-n", "100", "app.log", "|", "grep", "\"error\"", "head", "-f"]	[[1, 2, 3, 4, 5, 6, 7]]	
37	3	["grep"]	ファイル `app.log` から `error` を含む行を `errors.txt` に上書き保存する。	["grep", "\"error\"", "app.log", ">", "errors.txt", ">>", "cat"]	[[1, 2, 3, 4, 5]]	
38	3	["grep"]	ファイル `app.log` から `error` を含む行を `errors.txt` に追記保存する。	["grep", "\"error\"", "app.log", ">>", "errors.txt", ">", "cat"]	[[1, 2, 3, 4, 5]]	
